City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Ushuaia,-54.8,-68.3,38.86,93,100,2.3,AR,2022-04-02 17:27:09
1,Hasaki,35.7333,140.8333,46.8,56,100,8.59,JP,2022-04-02 17:27:10
2,Marawi,7.9986,124.2928,68.5,96,100,0.74,PH,2022-04-02 17:27:10
3,Kaitangata,-46.2817,169.8464,48.69,94,25,6.2,NZ,2022-04-02 17:27:11
4,Punta Arenas,-53.15,-70.9167,44.62,93,100,13.8,CL,2022-04-02 17:27:09
5,Narsaq,60.9167,-46.05,41.22,81,100,3.76,GL,2022-04-02 17:25:59
6,Galbshtadt,53.2264,78.9845,33.21,100,100,5.41,RU,2022-04-02 17:27:12
7,Castro,-24.7911,-50.0119,65.3,81,100,8.37,BR,2022-04-02 17:25:56
8,Sakakah,29.9697,40.2064,87.37,11,100,9.08,SA,2022-04-02 17:27:12
9,Vaini,-21.2,-175.2,79.79,75,76,5.53,TO,2022-04-02 17:27:13
10,Fredericton,45.9454,-66.6656,39.36,67,100,21.85,CA,2022-04-02 17:23:07
11,Rikitea,-23.1203,-134.9692,74.17,57,48,8.19,PF,2022-04-02 17:24:28
12,Airai,-8.9266,125.4092,57.52,83,19,1.39,TL,2022-04-02 17:27:13
13,Cape Town,-33.9258,18.4232,68.27,62,20,17.27,ZA,2022-04-02 17:25:46
14,Jackson,42.4165,-122.8345,54.16,59,0,3.44,US,2022-04-02 17:27:14
15,Tsiroanomandidy,-18.7667,46.0333,69.75,76,85,1.88,MG,2022-04-02 17:27:14
16,Bairiki,1.3292,172.9752,80.6,89,20,4.61,KI,2022-04-02 17:27:15
17,Cherskiy,68.75,161.3,-15.34,100,99,1.05,RU,2022-04-02 17:27:15
18,Taltal,-25.4,-70.4833,67.57,68,0,6.85,CL,2022-04-02 17:27:16
19,Cuenca,-2.8833,-78.9833,66.33,72,75,8.05,EC,2022-04-02 17:27:16
20,Kristiinankaupunki,62.2743,21.376,34.14,80,92,13.67,FI,2022-04-02 17:27:17
21,Axim,4.8699,-2.2405,83.86,73,98,9.28,GH,2022-04-02 17:27:17
22,Show Low,34.2542,-110.0298,62.08,31,0,12.66,US,2022-04-02 17:22:18
23,Ahipara,-35.1667,173.1667,62.58,91,88,2.26,NZ,2022-04-02 17:23:09
24,Dikson,73.5069,80.5464,-5.46,100,95,7.52,RU,2022-04-02 17:27:18
25,Carnarvon,-24.8667,113.6333,77.07,88,75,5.75,AU,2022-04-02 17:27:18
26,Guarapari,-20.6667,-40.4975,84.88,67,20,7.07,BR,2022-04-02 17:27:19
27,Mataura,-46.1927,168.8643,46.13,98,68,2.35,NZ,2022-04-02 17:27:19
28,Berlevag,70.8578,29.0864,22.8,93,100,16.87,NO,2022-04-02 17:27:19
29,Tucumcari,35.1717,-103.725,62.44,34,0,13.8,US,2022-04-02 17:27:20
30,Jamestown,42.097,-79.2353,44.02,45,0,6.91,US,2022-04-02 17:22:22
31,Butaritari,3.0707,172.7902,81.39,75,42,14.9,KI,2022-04-02 17:27:20
32,Los Llanos De Aridane,28.6585,-17.9182,62.35,82,75,8.01,ES,2022-04-02 17:27:21
33,Urengoy,65.9667,78.3667,-2.45,100,50,5.66,RU,2022-04-02 17:27:21
34,Sola,-13.8833,167.55,79.11,80,100,8.41,VU,2022-04-02 17:24:45
35,Karlshamn,56.1706,14.8619,39.69,50,97,6.04,SE,2022-04-02 17:27:22
36,Lugus,5.7036,120.8203,80.58,81,100,8.88,PH,2022-04-02 17:27:22
37,Atuona,-9.8,-139.0333,78.67,75,6,15.12,PF,2022-04-02 17:27:23
38,Bluff,-46.6,168.3333,57.4,72,67,17.67,NZ,2022-04-02 17:27:23
39,Ouesso,1.6136,16.0517,78.84,71,80,0.69,CG,2022-04-02 17:27:23
40,Pitimbu,-7.4706,-34.8086,88.39,65,31,12.59,BR,2022-04-02 17:27:24
41,San Patricio,28.017,-97.5169,81.18,62,90,8.1,US,2022-04-02 17:27:24
42,Hermanus,-34.4187,19.2345,62.8,70,93,18.01,ZA,2022-04-02 17:27:25
43,Opuwo,-18.0607,13.84,70.25,79,100,2.66,NA,2022-04-02 17:27:25
44,Puerto Ayora,-0.7393,-90.3518,85.96,90,31,5.99,EC,2022-04-02 17:27:25
45,Kapaa,22.0752,-159.319,72.48,95,75,19.57,US,2022-04-02 17:27:26
46,Avarua,-21.2078,-159.775,73.45,94,85,2.3,CK,2022-04-02 17:28:26
47,Srednekolymsk,67.45,153.6833,-8.41,99,100,4.09,RU,2022-04-02 17:28:27
48,Barrow,71.2906,-156.7887,-11.18,77,0,13.8,US,2022-04-02 17:28:27
49,San Cristobal,7.7669,-72.225,78.98,45,40,8.48,VE,2022-04-02 17:28:27
50,Qaanaaq,77.484,-69.3632,15.33,85,91,3.8,GL,2022-04-02 17:28:28
51,Hithadhoo,-0.6,73.0833,83.32,68,16,4.47,MV,2022-04-02 17:28:28
52,Dicabisagan,17.0818,122.4157,76.57,83,100,3.27,PH,2022-04-02 17:28:29
53,Ruidoso,33.3317,-105.673,64.87,21,0,3.44,US,2022-04-02 17:28:29
54,Qaqortoq,60.7167,-46.0333,38.48,87,100,3.96,GL,2022-04-02 17:28:30
55,Bambous Virieux,-20.3428,57.7575,74.21,100,75,3.44,MU,2022-04-02 17:28:30
56,Riesa,51.3,13.3,41.04,60,100,15.97,DE,2022-04-02 17:28:30
57,Hilo,19.7297,-155.09,69.53,90,100,6.91,US,2022-04-02 17:26:54
58,Ponta Do Sol,32.6667,-17.1,63.23,76,82,7.9,PT,2022-04-02 17:28:31
59,Hinton,53.4001,-117.5857,36.39,80,100,2.13,CA,2022-04-02 17:28:31
60,Hobyo,5.3505,48.5268,81.95,71,36,13.96,SO,2022-04-02 17:28:32
61,Thompson,55.7435,-97.8558,21.36,58,40,2.3,CA,2022-04-02 17:28:32
62,Saint-Philippe,-21.3585,55.7679,75.22,97,100,21.16,RE,2022-04-02 17:28:33
63,Seddon,-37.8068,144.8916,60.21,86,100,6.91,AU,2022-04-02 17:28:33
64,Cabo San Lucas,22.8909,-109.9124,78.1,51,43,5.99,MX,2022-04-02 17:28:33
65,Provideniya,64.3833,-173.3,8.24,67,2,10.69,RU,2022-04-02 17:28:34
66,San Quintin,30.4833,-115.95,60.31,70,100,5.39,MX,2022-04-02 17:28:34
67,Nikolskoye,59.7035,30.7861,31.89,94,48,4.99,RU,2022-04-02 17:28:35
68,Bardiyah,31.7561,25.0865,66.16,54,100,7.16,LY,2022-04-02 17:28:35
69,Lompoc,34.6391,-120.4579,57.52,90,100,3.44,US,2022-04-02 17:26:00
70,Mattersburg,47.7333,16.4,33.42,93,100,11.99,AT,2022-04-02 17:28:36
71,Polunochnoye,60.8697,60.4153,11.75,95,95,0.38,RU,2022-04-02 17:28:36
72,Port Alfred,-33.5906,26.891,64.18,89,100,14.7,ZA,2022-04-02 17:28:36
73,Grand-Lahou,5.1367,-5.0242,83.55,73,100,9.93,CI,2022-04-02 17:28:37
74,Tiznit,29.5833,-9.5,68.22,54,1,9.73,MA,2022-04-02 17:25:39
75,Bambanglipuro,-7.95,110.2833,77.18,85,97,2.84,ID,2022-04-02 17:28:37
76,Tuktoyaktuk,69.4541,-133.0374,-22.0,76,40,10.36,CA,2022-04-02 17:28:38
77,Denpasar,-8.65,115.2167,80.26,88,40,3.44,ID,2022-04-02 17:25:49
78,Tukrah,32.5341,20.5791,64.74,50,100,4.79,LY,2022-04-02 17:28:38
79,Dingle,10.9995,122.6711,76.14,81,63,6.67,PH,2022-04-02 17:28:39
80,Abu Dhabi,24.4667,54.3667,80.62,52,0,6.91,AE,2022-04-02 17:27:48
81,Hobart,-42.8794,147.3294,55.26,84,100,8.05,AU,2022-04-02 17:28:39
82,Sorong,-0.8833,131.25,79.41,81,100,4.83,ID,2022-04-02 17:23:57
83,Piacabucu,-10.4056,-36.4344,84.18,63,34,9.08,BR,2022-04-02 17:28:40
84,Khatanga,71.9667,102.5,0.88,97,100,6.15,RU,2022-04-02 17:28:40
85,Pingdu,36.7844,119.9464,45.52,60,6,4.41,CN,2022-04-02 17:28:41
86,Karratha,-20.7377,116.8463,82.8,72,68,10.0,AU,2022-04-02 17:28:41
87,Albany,42.6001,-73.9662,47.57,40,4,1.99,US,2022-04-02 17:25:34
88,Coolum Beach,-26.5333,153.1,69.08,93,18,2.95,AU,2022-04-02 17:28:42
89,Port Augusta,-32.5,137.7667,60.82,54,100,6.91,AU,2022-04-02 17:28:42
90,Aklavik,68.2191,-135.0107,-18.4,76,0,2.3,CA,2022-04-02 17:27:20
91,Klaksvik,62.2266,-6.589,45.52,82,88,8.55,FO,2022-04-02 17:29:43
92,Correia Pinto,-27.5847,-50.3611,63.57,76,98,5.59,BR,2022-04-02 17:29:43
93,Saldanha,-33.0117,17.9442,68.05,67,0,24.11,ZA,2022-04-02 17:29:44
94,Calatayud,41.3535,-1.6432,47.55,44,94,21.54,ES,2022-04-02 17:29:44
95,Nata,8.3333,-80.5167,89.47,34,61,15.39,PA,2022-04-02 17:29:44
96,Kodiak,57.79,-152.4072,33.31,100,100,5.75,US,2022-04-02 17:29:45
97,New Norfolk,-42.7826,147.0587,54.9,68,72,1.39,AU,2022-04-02 17:29:45
98,Eidfjord,60.4675,7.0719,33.58,91,100,5.1,NO,2022-04-02 17:29:12
99,Juegang,32.3174,121.1855,47.91,66,0,4.12,CN,2022-04-02 17:29:46
100,Georgetown,5.4112,100.3354,78.73,93,20,3.44,MY,2022-04-02 17:27:46
101,Hanting,36.7708,119.2108,47.75,48,3,4.76,CN,2022-04-02 17:29:46
102,Kologriv,58.8275,44.3178,29.39,86,100,10.07,RU,2022-04-02 17:29:47
103,Mehamn,71.0357,27.8492,27.01,90,100,23.38,NO,2022-04-02 17:29:47
104,Namatanai,-3.6667,152.4333,77.52,87,100,6.73,PG,2022-04-02 17:29:48
105,Sitka,57.0531,-135.33,44.49,57,75,16.11,US,2022-04-02 17:29:48
106,Busselton,-33.65,115.3333,71.85,73,98,5.5,AU,2022-04-02 17:29:49
107,Chulman,56.8479,124.9104,9.79,96,99,2.64,RU,2022-04-02 17:29:49
108,Upernavik,72.7868,-56.1549,14.16,92,93,12.26,GL,2022-04-02 17:29:50
109,Tiksi,71.6872,128.8694,-5.48,100,99,3.04,RU,2022-04-02 17:29:50
110,Bethel,41.3712,-73.414,50.63,46,0,10.36,US,2022-04-02 17:28:47
111,Port Moresby,-9.4431,147.1797,75.07,82,99,3.6,PG,2022-04-02 17:29:50
112,Mehran,33.1222,46.1646,79.9,14,81,9.22,IR,2022-04-02 17:29:51
113,Tateyama,34.9833,139.8667,49.1,62,100,12.82,JP,2022-04-02 17:29:51
114,Emerald,-23.5333,148.1667,69.94,88,1,5.75,AU,2022-04-02 17:29:52
115,Castrillon,43.3979,-6.7922,46.9,55,33,7.31,ES,2022-04-02 17:29:52
116,Souillac,-20.5167,57.5167,73.78,100,75,3.44,MU,2022-04-02 17:29:52
117,Port Elizabeth,-33.918,25.5701,64.09,91,75,5.75,ZA,2022-04-02 17:29:53
118,Cidreira,-30.1811,-50.2056,71.8,68,5,13.8,BR,2022-04-02 17:29:53
119,Ribeira Grande,38.5167,-28.7,64.8,59,20,10.36,PT,2022-04-02 17:29:54
120,Poykovskiy,61.2333,73.3333,19.69,68,0,0.0,RU,2022-04-02 17:29:54
121,Kavaratti,10.5669,72.642,83.19,71,48,6.06,IN,2022-04-02 17:29:54
122,Zhanakorgan,43.9098,67.2495,61.27,27,0,7.87,KZ,2022-04-02 17:29:55
123,Tasiilaq,65.6145,-37.6368,33.96,95,100,26.42,GL,2022-04-02 17:29:55
124,Nautla,20.2167,-96.7833,80.19,69,98,9.15,MX,2022-04-02 17:29:56
125,Kyabram,-36.3167,145.05,56.88,84,100,11.83,AU,2022-04-02 17:29:56
126,Saurimo,-9.6608,20.3916,69.55,89,68,2.8,AO,2022-04-02 17:29:56
127,Brazzaville,-4.2658,15.2832,75.94,89,100,1.63,CG,2022-04-02 17:29:57
128,Hami,42.8,93.45,55.27,12,46,5.82,CN,2022-04-02 17:29:57
129,Labuan,5.2767,115.2417,79.16,94,20,0.0,MY,2022-04-02 17:29:57
130,Lodja,-3.4833,23.4333,74.17,92,96,3.42,CD,2022-04-02 17:29:58
131,Oksbol,55.6268,8.2876,41.11,59,59,14.63,DK,2022-04-02 17:29:58
132,Yellowknife,62.456,-114.3525,0.28,59,75,4.61,CA,2022-04-02 17:29:59
133,Uaua,-9.8414,-39.4817,87.66,42,100,15.66,BR,2022-04-02 17:29:59
134,Deniliquin,-35.5333,144.9667,57.69,78,100,6.02,AU,2022-04-02 17:30:00
135,Araouane,18.9048,-3.5265,101.05,9,4,7.61,ML,2022-04-02 17:30:00
136,Gornyy,55.1153,83.9059,25.36,95,100,3.0,RU,2022-04-02 17:31:01
137,Mount Gambier,-37.8333,140.7667,53.51,94,79,8.05,AU,2022-04-02 17:31:01
138,La Palma,33.8464,-118.0467,64.81,79,100,6.91,US,2022-04-02 17:29:39
139,Varna,43.2167,27.9167,55.54,85,47,10.36,BG,2022-04-02 17:31:02
140,At-Bashi,41.1702,75.8106,33.06,64,20,2.91,KG,2022-04-02 17:31:02
141,Lebu,-37.6167,-73.65,59.54,94,98,8.48,CL,2022-04-02 17:31:03
142,Fairbanks,64.8378,-147.7164,14.34,50,100,6.91,US,2022-04-02 17:28:52
143,Faanui,-16.4833,-151.75,81.9,72,100,5.66,PF,2022-04-02 17:31:03
144,Waddan,29.1614,16.139,79.7,14,100,12.37,LY,2022-04-02 17:31:04
145,Teya,60.3778,92.6267,2.16,100,86,3.49,RU,2022-04-02 17:31:04
146,Mangrol,21.1167,70.1167,77.63,81,3,6.31,IN,2022-04-02 17:31:04
147,Killarney,52.05,-9.5167,50.05,66,40,12.66,IE,2022-04-02 17:31:05
148,Kontagora,10.3999,5.4695,93.92,19,67,4.5,NG,2022-04-02 17:31:05
149,Vardo,70.3705,31.1107,26.78,70,100,0.87,NO,2022-04-02 17:28:46
150,Mahebourg,-20.4081,57.7,74.25,100,75,3.44,MU,2022-04-02 17:30:30
151,Alofi,-19.0595,-169.9187,71.49,100,94,1.14,NU,2022-04-02 17:31:06
152,Coihaique,-45.5752,-72.0662,51.75,62,100,5.75,CL,2022-04-02 17:28:57
153,Bredasdorp,-34.5322,20.0403,62.24,70,88,13.04,ZA,2022-04-02 17:31:07
154,Le Port,-20.9373,55.2919,75.61,87,100,7.0,RE,2022-04-02 17:31:07
155,Aransas Pass,27.9095,-97.15,81.21,77,0,8.05,US,2022-04-02 17:30:44
156,Mar Del Plata,-38.0023,-57.5575,69.82,60,0,21.0,AR,2022-04-02 17:31:07
157,Chokurdakh,70.6333,147.9167,-4.34,94,100,5.35,RU,2022-04-02 17:31:08
158,Siderno,38.2779,16.302,46.33,73,91,13.42,IT,2022-04-02 17:31:08
159,Irving,32.814,-96.9489,72.77,56,0,12.66,US,2022-04-02 17:29:51
160,Beringovskiy,63.05,179.3167,9.45,95,100,10.56,RU,2022-04-02 17:31:09
161,Cameta,-2.2444,-49.4958,85.17,68,35,7.27,BR,2022-04-02 17:31:09
162,Tutoia,-2.7619,-42.2744,78.51,85,98,4.54,BR,2022-04-02 17:31:10
163,Luderitz,-26.6481,15.1594,63.34,76,0,18.45,NA,2022-04-02 17:31:10
164,Santa Vitoria Do Palmar,-33.5189,-53.3681,70.66,53,72,7.43,BR,2022-04-02 17:30:54
165,Kenora,49.8167,-94.4337,32.97,69,100,8.05,CA,2022-04-02 17:31:11
166,Westport,41.1415,-73.3579,51.89,42,0,9.22,US,2022-04-02 17:30:34
167,Palma,39.5694,2.6502,58.03,35,20,13.8,ES,2022-04-02 17:27:40
168,San Felipe,10.3399,-68.7425,88.68,52,86,8.14,VE,2022-04-02 17:31:12
169,Tuatapere,-46.1333,167.6833,48.4,92,69,3.33,NZ,2022-04-02 17:30:07
170,Podgornoye,51.735,39.1496,53.82,76,75,17.9,RU,2022-04-02 17:31:12
171,Port Hardy,50.6996,-127.4199,42.98,87,100,6.91,CA,2022-04-02 17:31:13
172,Praia,14.9215,-23.5087,77.54,57,20,25.32,CV,2022-04-02 17:31:13
173,Port Lincoln,-34.7333,135.8667,60.08,81,76,10.29,AU,2022-04-02 17:30:26
174,Bonavista,48.6499,-53.1147,37.31,92,97,19.91,CA,2022-04-02 17:31:14
175,Longyearbyen,78.2186,15.6401,1.24,66,20,10.36,SJ,2022-04-02 17:31:14
176,Liverpool,53.4106,-2.9779,49.71,54,40,8.05,GB,2022-04-02 17:28:50
177,Iskateley,67.6803,53.1512,3.0,98,45,6.51,RU,2022-04-02 17:30:40
178,San Ramon,37.7799,-121.978,65.14,66,0,4.61,US,2022-04-02 17:31:15
179,Arman,59.7,150.1667,8.02,79,100,5.97,RU,2022-04-02 17:31:15
180,Petropavlovsk-Kamchatskiy,53.0452,158.6483,23.59,58,75,4.47,RU,2022-04-02 17:31:16
181,Mitsamiouli,-11.3847,43.2844,81.82,74,9,4.18,KM,2022-04-02 17:31:16
182,Omboue,-1.5746,9.2618,76.21,83,100,6.38,GA,2022-04-02 17:32:17
183,Bull Savanna,17.8868,-77.5902,83.21,60,14,18.77,JM,2022-04-02 17:32:17
184,Prince Rupert,54.3161,-130.3201,42.89,75,100,36.82,CA,2022-04-02 17:30:25
185,Price,39.5994,-110.8107,58.12,22,0,4.61,US,2022-04-02 17:32:18
186,Banjar,-8.19,114.9675,76.41,88,90,4.21,ID,2022-04-02 17:32:19
187,Okha,53.5739,142.9478,13.59,94,55,5.39,RU,2022-04-02 17:32:19
188,Svetlogorsk,52.6333,29.7333,32.81,98,100,11.32,BY,2022-04-02 17:32:19
189,Zhangzhou,24.5133,117.6556,57.13,84,100,2.28,CN,2022-04-02 17:32:20
190,Issenye,-2.0,34.3333,63.21,93,91,2.24,TZ,2022-04-02 17:32:20
191,Tinos,37.5375,25.1634,64.02,67,20,5.75,GR,2022-04-02 17:32:21
192,Feodosiya,45.0333,35.3833,51.49,81,0,11.14,UA,2022-04-02 17:32:21
193,Sao Filipe,14.8961,-24.4956,72.1,78,57,9.46,CV,2022-04-02 17:32:22
194,Boueni,-12.9025,45.0761,82.38,70,7,4.05,YT,2022-04-02 17:32:22
